PageTotalLikes,Type,PostMonth,PostWeekday,PostHour,LifetimePostTotalImpressions,LifetimeEngagedUsers,LifetimePostConsumptions,LifetimePostImpressionsbypeoplewhohavelikedyourPage,Share
139441,Photo,12,4,3,5091,178,159,3078,17
139441,Status,12,3,10,19057,1457,1674,11710,29
139441,Photo,12,3,3,4373,177,154,2812,14
139441,Photo,12,2,10,87991,2211,1119,61027,147
139441,Photo,12,2,3,13594,671,580,6228,49
139441,Status,12,1,9,20849,1191,1389,16034,33
139441,Photo,12,1,3,19479,481,364,15432,27
139441,Photo,12,7,9,24137,537,305,19728,14
139441,Status,12,7,3,22538,1530,1692,15220,31
139441,Photo,12,6,10,8668,280,250,4309,26
139441,Status,12,5,10,42334,4258,4540,37849,19
139441,Photo,12,5,10,5590,208,145,3887,18
139441,Photo,12,5,10,5133,193,133,3779,14
139441,Photo,12,5,3,4896,249,168,3631,10
138414,Photo,12,4,5,39941,887,417,34415,20
138414,Status,12,3,10,19680,1264,1425,17272,18
138414,Photo,12,3,3,2981,163,148,1868,12
138414,Photo,12,2,12,111785,1706,1655,92512,20
138414,Status,12,2,3,7509,130,112,5009,17
138414,Photo,12,1,11,2825,121,111,2116,8
138414,Photo,12,1,3,5066,200,184,3561,12
138414,Photo,12,7,10,2467,15,20,2196,0
138414,Link,12,7,10,6853,118,130,6282,2
138414,Photo,12,7,3,4888,176,143,2964,24
138414,Status,12,6,10,15294,1341,1489,9684,19
138458,Status,12,6,3,15104,1521,1711,10266,18
138458,Status,12,5,11,34143,2806,3420,17748,72
138458,Photo,12,5,3,4306,212,149,2612,17
138895,Photo,12,5,3,18264,973,885,9217,63
138895,Video,12,4,11,61262,1141,1728,30131,13
138895,Photo,12,4,2,9390,385,501,5860,22
138895,Photo,12,3,10,2929,192,221,1585,11
138895,Photo,12,3,3,9578,368,345,4480,47
138895,Photo,12,2,9,5318,268,247,3039,23
138895,Photo,12,2,3,7149,298,431,5782,17
138895,Photo,12,1,11,7808,423,431,5183,21
138895,Photo,12,1,3,4628,252,226,3052,17
138895,Photo,12,7,10,28663,479,805,5187,8
138895,Status,12,7,9,33058,5352,6547,23135,31
138895,Photo,12,7,3,6085,306,402,4986,14
138895,Status,12,6,11,24198,2055,2720,17627,39
138895,Link,12,6,3,28438,517,460,12078,18
138353,Photo,12,5,10,13989,2087,12074,13544,3
138353,Link,12,5,3,4270,134,170,2330,10
138353,Photo,12,4,11,8387,355,513,7283,11
138353,Link,12,4,3,13023,206,223,6734,10
138353,Status,12,3,11,30612,3572,4802,24363,36
138353,Link,12,3,2,3481,97,126,2307,8
138353,Photo,12,2,11,7329,338,450,6336,15
138353,Link,12,2,2,3094,84,99,2903,1
138353,Photo,11,1,9,3155,108,95,2313,9
138329,Photo,11,1,3,40125,726,863,16132,28
138329,Photo,11,7,9,8899,355,264,4914,31
138329,Photo,11,7,3,5439,237,401,3901,19
138329,Photo,11,6,10,4462,260,433,3017,13
138329,Video,11,6,2,31950,459,539,21436,14
138329,Photo,11,5,11,10465,343,301,4976,54
138329,Photo,11,5,3,4846,165,167,3675,13
138329,Photo,11,4,10,4372,230,327,3188,11
138329,Photo,11,4,3,84885,421,487,35637,17
138185,Photo,11,3,11,27951,417,591,15066,14
138185,Photo,11,3,2,164528,630,952,54653,10
138185,Photo,11,2,10,47358,802,1268,14091,13
138185,Photo,11,2,3,81908,541,540,26869,22
138185,Photo,11,1,10,5234,232,258,4101,7
138185,Photo,11,1,3,6167,356,641,4530,23
138185,Photo,11,7,11,4120,197,219,3302,7
138185,Photo,11,7,3,93790,1576,1469,32646,70
138185,Photo,11,6,11,3891,211,202,2873,17
137893,Photo,11,6,3,5939,360,512,3537,28
137893,Photo,11,5,10,103050,588,695,39304,9
137893,Video,11,5,3,220447,2101,2331,59658,84
137893,Status,11,4,11,16362,1006,1153,9562,44
137893,Photo,11,4,2,46054,555,717,13737,47
137893,Video,11,3,11,30235,517,667,26622,13
137893,Photo,11,3,2,68610,1150,1341,22100,74
137893,Photo,11,3,2,2392,17,19,2392,0
137177,Photo,11,1,10,59040,438,542,12716,8
137177,Photo,11,1,3,2774,217,211,1924,8
137177,Photo,11,7,12,8533,658,2085,6838,7
137177,Status,11,7,3,17827,2295,2828,15418,13
137177,Photo,11,6,10,11123,657,512,5057,53
137177,Photo,11,6,3,9193,454,431,3691,57
137177,Photo,11,5,10,5799,321,379,3668,19
137177,Status,11,5,2,13092,199,141,7549,16
137177,Photo,11,4,9,5244,384,469,3834,8
137177,Link,11,4,3,54779,330,329,13858,31
137177,Photo,11,3,10,7955,550,477,4625,38
137177,Photo,11,3,3,2838,212,1359,1210,6
137059,Photo,11,2,11,6056,374,483,4509,17
137059,Photo,11,2,3,37240,845,850,14475,77
137059,Photo,11,1,9,4545,287,329,3189,13
137059,Photo,11,1,3,9303,607,518,6201,32
137059,Photo,11,7,9,4239,310,289,2570,16
137059,Photo,11,7,4,4943,316,299,3047,22
137059,Photo,10,6,10,5744,391,360,3521,27
137059,Photo,10,6,3,2548,324,2418,1284,11
137059,Photo,10,5,11,5230,318,303,3128,26
137020,Status,10,5,3,24917,2143,2576,15850,61
137020,Photo,10,4,10,21893,785,881,13272,90
137020,Photo,10,4,9,2453,37,55,2154,0
137020,Photo,10,4,3,104952,2624,1952,35707,95
137020,Photo,10,3,10,3174,288,339,2226,14
137020,Photo,10,3,4,2544,224,931,2161,4
137020,Photo,10,2,11,5472,357,482,4485,9
137020,Photo,10,2,4,111745,3216,4782,43671,139
137020,Photo,10,1,11,7221,452,487,3832,32
136736,Status,10,1,4,19556,1132,1512,16018,28
136736,Photo,10,7,9,4469,320,325,3120,16
136736,Status,10,7,3,27468,2664,3395,20198,50
136736,Photo,10,6,10,3655,338,1619,2598,4
136736,Photo,10,6,8,2158,37,49,1911,
136736,Photo,10,6,4,4510,311,323,2888,18
136642,Photo,10,1,3,4070,369,430,3227,16
136642,Photo,10,7,13,2749,370,414,2551,2
136642,Photo,10,7,12,1568,323,387,1402,2
136642,Photo,10,7,12,57472,1810,2286,56149,26
136642,Photo,10,7,11,1374,303,331,1284,0
136642,Photo,10,7,10,1570,399,510,1390,2
136393,Photo,10,7,10,1573,263,318,1401,2
136393,Photo,10,7,9,1029,273,308,943,
136393,Status,10,7,9,30514,2733,3289,23584,40
136393,Photo,10,7,8,1096,257,292,951,2
136393,Photo,10,7,7,1071,229,265,935,2
136393,Photo,10,7,6,1285,251,297,1210,
136393,Photo,10,7,5,1240,236,264,1098,2
136393,Photo,10,7,3,6647,474,495,3180,41
136393,Photo,10,6,13,1443,226,287,1252,1
136393,Photo,10,6,13,1117,195,224,989,1
136393,Photo,10,6,12,1510,206,252,1430,0
136393,Photo,10,6,11,1673,207,247,1503,2
136393,Photo,10,6,9,8239,868,2632,7736,3
136393,Photo,10,6,9,1158,199,239,1041,2
136393,Photo,10,6,8,1331,214,249,1249,1
136393,Photo,10,6,6,1565,214,239,1351,4
136393,Photo,10,6,2,7659,424,644,6951,12
136393,Link,10,5,10,9463,204,251,7196,16
136013,Photo,10,5,8,2427,210,249,2195,3
136013,Status,10,5,3,17202,1480,1932,13838,25
136013,Photo,10,4,10,8617,428,616,6677,19
136013,Link,10,4,3,229733,1032,1345,17842,44
136013,Status,10,3,10,25666,2543,3179,20547,36
136013,Status,10,3,2,59964,6164,9237,35977,90
136013,Photo,10,2,10,39549,714,720,11860,60
136013,Photo,10,2,3,140432,1462,8308,46252,9
136013,Photo,10,1,10,11040,528,861,8627,14
136013,Photo,10,1,3,44940,421,463,4401,15
135713,Photo,10,7,10,3960,303,325,3020,14
135713,Status,10,7,4,20691,1967,2201,17502,28
135713,Link,10,6,11,6887,111,118,4263,11
135713,Photo,10,6,4,112830,2105,3932,70249,41
135713,Photo,10,5,11,7444,477,534,4406,32
135713,Photo,10,5,4,12097,806,957,7682,49
135713,Photo,10,4,10,20151,813,1390,16890,25
135713,Photo,10,4,1,10282,746,867,5696,55
135700,Photo,9,3,7,2999,322,424,1794,16
135700,Photo,9,2,11,7094,469,613,4935,30
135700,Photo,9,2,2,4862,390,445,3273,21
135700,Photo,9,1,10,9493,622,757,6200,35
135617,Photo,9,1,3,3915,346,412,2970,13
135617,Photo,9,7,9,14948,757,652,11148,40
135617,Photo,9,7,3,7255,598,688,4428,32
135617,Photo,9,6,10,13633,769,951,5503,98
135617,Status,9,6,4,21080,1843,2106,16095,41
135428,Photo,9,5,10,2004,266,337,1705,
135428,Photo,9,5,3,4879,435,513,3501,19
135428,Photo,9,4,10,37716,519,672,26832,5
135428,Photo,9,4,2,19724,892,719,13674,64
135428,Photo,9,3,10,68290,3370,4074,34802,208
135428,Photo,9,3,2,4583,455,547,3031,16
135195,Photo,9,2,9,8039,572,599,5014,26
135195,Photo,9,2,2,2874,360,463,2373,6
135195,Status,9,1,10,41906,4840,5906,35455,27
135195,Photo,9,1,4,7829,545,629,4208,40
135195,Photo,9,7,3,8105,584,669,4799,34
135195,Status,9,6,10,24738,2675,2969,19599,22
135195,Photo,9,6,3,37159,1805,1618,22864,98
135195,Photo,9,5,11,10830,644,678,6866,40
135195,Photo,9,5,2,8533,626,729,4215,42
135195,Photo,9,4,10,6518,537,597,3857,36
134879,Status,9,4,4,17776,1476,1797,13887,29
134879,Photo,9,3,10,38806,631,836,19409,8
134879,Photo,9,3,2,7989,588,622,4578,44
134879,Video,9,2,10,56950,2080,3253,32033,121
134879,Photo,9,2,3,4223,393,476,3332,11
134879,Photo,9,1,10,4005,374,458,3247,10
134879,Photo,9,1,6,7217,544,602,4046,35
134879,Photo,9,7,10,2968,330,352,2293,6
134879,Photo,9,7,4,4028,371,392,3112,12
133679,Photo,9,2,10,5388,518,609,3927,15
133679,Photo,9,2,3,4004,436,486,2757,15
133679,Photo,8,1,10,33643,1359,990,24034,43
133679,Photo,8,1,4,3721,377,402,3121,7
133594,Photo,8,7,10,6330,512,599,5010,17
133594,Photo,8,7,3,76659,1666,1977,54860,42
133594,Photo,8,6,10,8730,703,772,5123,43
133594,Photo,8,6,8,3130,399,494,2541,7
133594,Photo,8,5,13,3124,365,428,2541,7
133451,Photo,8,4,9,3530,356,443,3295,2
132817,Photo,8,4,10,64850,1954,1678,50076,102
132817,Photo,8,4,3,7191,498,596,5161,25
132817,Photo,8,3,9,6557,428,631,5700,5
132817,Status,8,3,2,16054,1151,1560,14014,15
132817,Photo,8,2,10,205934,946,1158,122474,19
132817,Photo,8,2,3,5682,394,523,4200,16
132201,Photo,8,1,12,5644,371,513,5069,3
132201,Photo,8,1,3,121234,2240,2779,92348,68
132201,Photo,8,7,10,6218,529,794,4831,20
132201,Photo,8,7,3,4220,347,529,3418,11
132201,Photo,8,6,10,3772,376,440,2205,22
132201,Photo,8,6,3,54734,979,1751,46700,3
132201,Photo,8,5,10,12978,630,521,9342,21
132201,Photo,8,5,1,2845,345,424,1604,11
132201,Photo,8,4,11,1594,277,354,1055,3
132201,Photo,8,4,3,21685,844,683,15779,31
131956,Photo,8,3,10,64746,1062,1971,40181,10
131956,Photo,8,3,4,2327,363,433,1475,9
131956,Status,8,2,12,26000,304,383,25539,1
131956,Photo,8,2,7,26728,1393,3214,25610,10
131956,Photo,8,1,12,9874,769,1063,7407,28
131956,Photo,8,1,4,4372,389,458,3655,8
131956,Photo,8,7,10,7241,548,676,4972,27
131808,Status,8,7,4,14305,997,1211,12905,11
131808,Status,8,6,10,35904,3370,5106,26881,54
131808,Photo,8,6,6,9084,528,906,7723,21
131808,Status,7,5,14,25269,2827,3627,22103,17
131728,Photo,7,5,8,6369,473,525,4518,26
131728,Photo,7,4,10,252207,699,882,78287,11
131728,Photo,7,4,3,21863,868,966,13498,25
131630,Photo,7,3,13,5699,444,497,4487,19
131630,Photo,7,2,23,5058,424,486,3681,20
131630,Photo,7,2,13,5063,356,415,3764,20
131630,Status,7,2,6,20573,135,153,20030,1
131630,Photo,7,1,11,6691,320,423,3238,10
131630,Photo,7,1,5,5278,372,577,3993,21
131300,Status,7,7,10,19279,128,130,18838,1
131300,Photo,7,7,4,19744,913,1370,14425,45
131300,Photo,7,6,10,6316,424,530,4319,23
131300,Photo,7,6,2,6166,451,561,4708,25
130791,Photo,7,5,11,7200,487,723,4911,31
130791,Photo,7,5,3,35161,1016,909,26701,83
130791,Photo,7,4,11,8499,536,721,7389,22
130791,Status,7,4,6,33613,2573,6017,23338,79
130791,Video,7,3,11,40413,3872,7327,24667,76
130791,Photo,7,3,5,319133,8072,6242,108752,790
130791,Photo,7,2,13,66824,1052,1571,22904,30
130791,Photo,7,2,8,5188,550,730,3840,15
129600,Photo,7,1,12,6503,541,667,4371,19
129600,Photo,7,1,6,5656,571,731,4446,19
129600,Photo,7,7,11,4349,479,588,3342,14
129600,Photo,7,7,6,9068,622,795,6651,10
129600,Photo,7,6,11,43464,877,1097,20270,34
129600,Photo,7,6,5,9321,756,1033,5867,42
129600,Status,7,5,12,27513,2417,3098,19078,51
129600,Photo,7,5,3,82011,1620,1419,42128,58
129600,Photo,7,4,12,6372,602,785,4760,8
129600,Photo,7,4,6,50539,863,1106,24010,32
129600,Photo,7,3,13,65309,1407,2251,27771,10
129600,Photo,7,3,1,7774,685,838,4404,26
129600,Photo,7,2,13,8360,729,1014,5010,41
129600,Photo,7,2,7,7948,701,1020,5936,15
129600,Photo,7,1,13,41650,964,1237,18035,43
128032,Photo,7,1,3,5461,513,652,3675,16
128032,Photo,7,7,11,5918,550,787,4606,9
128032,Photo,7,7,3,55398,1355,1328,17365,60
128032,Photo,7,6,13,4264,528,652,3086,10
128032,Photo,7,6,3,12735,758,1236,8855,24
128032,Status,7,5,10,16978,1473,2136,14450,13
128032,Photo,7,5,3,11881,909,14974,7243,7
128032,Photo,7,4,9,6050,515,710,5005,4
128032,Photo,7,4,5,65260,2003,2089,23679,28
128032,Photo,7,3,10,111502,1191,1641,40203,47
127082,Photo,7,3,3,94644,2889,4596,31096,31
126424,Photo,7,4,12,9098,1007,1181,5307,27
126424,Photo,7,4,3,6194,895,1173,4700,7
126424,Status,7,3,13,31448,3742,7854,25584,14
126424,Photo,7,3,4,3611,722,862,2545,5
126424,Video,6,2,13,277100,1779,2356,107502,44
126345,Photo,6,2,9,11854,1043,19779,5901,5
126345,Photo,6,2,3,191324,2552,4906,48765,39
126345,Photo,6,1,12,4908,735,897,3399,8
126345,Photo,6,1,4,4909,909,1147,3559,17
126345,Status,6,7,11,20327,2240,3599,17717,13
126141,Photo,6,7,4,16968,1400,2801,15917,4
126141,Photo,6,6,12,47721,1631,2438,41207,12
126141,Status,6,6,4,14847,870,1692,11970,18
126141,Photo,6,5,11,4180,389,7980,3963,3
126141,Photo,6,4,22,24112,936,1126,5648,9
126141,Photo,6,4,12,29062,1418,2048,19738,33
125612,Photo,6,4,11,4072,170,286,3147,5
125612,Photo,6,4,7,3289,596,735,2888,2
125612,Photo,6,4,3,7127,753,1021,4569,26
125612,Photo,6,3,11,4410,569,781,3802,5
125612,Photo,6,3,3,5969,610,852,4111,23
125612,Photo,6,2,13,5807,691,913,3351,21
125612,Photo,6,2,2,21564,1160,2042,20024,7
125612,Photo,6,1,14,7004,724,920,5063,19
125612,Photo,6,1,3,4388,564,650,3519,10
125612,Photo,6,7,11,5396,621,775,3708,16
124940,Photo,6,7,4,14480,840,1388,13786,1
124940,Photo,6,6,9,11469,909,1229,7431,43
124940,Photo,6,6,2,4955,552,622,3579,16
124940,Photo,6,5,13,102620,1382,1871,32470,28
124940,Photo,6,5,3,15323,985,940,8419,29
124940,Photo,6,4,12,80871,884,1034,2289,7
124940,Photo,6,4,2,8303,842,1014,6086,28
124940,Photo,6,3,13,10217,750,969,6253,28
124940,Photo,6,3,3,8178,768,1000,5651,26
124940,Photo,6,2,13,29650,1029,1408,9376,18
124940,Photo,6,2,3,6295,791,1072,4343,20
124940,Photo,6,1,13,7998,666,948,7037,3
124940,Photo,6,1,3,5525,664,870,4229,13
124940,Photo,6,7,10,4794,579,740,3574,12
124940,Photo,6,7,3,6503,647,995,5416,14
124940,Photo,6,6,12,73584,1635,2824,18580,4
124940,Photo,6,6,4,70212,1557,2051,22710,23
123047,Photo,6,5,12,5113,756,937,3476,17
123047,Photo,6,5,3,5553,702,863,3484,14
123047,Photo,6,4,13,11525,768,930,7048,44
123047,Photo,6,4,5,20647,1141,1874,14792,49
123047,Photo,6,3,11,18474,759,1082,7326,5
123047,Photo,6,2,13,5659,581,770,4491,6
123047,Photo,6,2,5,6476,560,677,4930,14
123047,Photo,6,1,10,104966,2579,1850,78678,47
123047,Photo,6,1,3,5499,526,599,4658,6
121540,Photo,6,1,3,5405,732,892,4605,10
121540,Photo,5,7,14,6486,722,880,4955,17
120050,Photo,5,5,9,6736,577,719,4846,22
120050,Photo,5,4,12,55633,1684,2123,32021,58
120050,Photo,5,4,4,7278,684,848,4935,34
120050,Photo,5,3,12,34095,1049,1438,11280,32
119198,Photo,5,3,5,8025,692,872,4911,26
119198,Photo,5,2,12,4698,566,663,3601,10
119198,Photo,5,2,1,5630,596,721,4114,20
119198,Status,5,1,2,17099,1636,2755,15382,10
119198,Photo,5,7,2,8090,678,889,4664,37
119198,Photo,5,6,14,4642,526,604,3353,9
119198,Photo,5,6,6,4954,536,672,3382,16
119198,Photo,5,5,10,11373,823,1197,6279,44
117764,Photo,5,4,10,32576,1062,1389,26514,58
117764,Photo,5,4,4,8745,679,966,5904,36
117764,Photo,5,3,11,6181,470,583,4249,17
117764,Photo,5,2,11,11509,734,1157,7910,33
117764,Photo,5,1,13,7753,491,676,5493,29
117764,Link,5,1,2,19301,344,396,16914,14
117764,Photo,5,7,13,7378,604,767,5681,20
117764,Photo,5,7,2,65149,2298,3000,57722,90
117764,Photo,5,6,13,5067,392,507,3586,13
117764,Photo,5,6,8,7705,574,847,5156,23
117764,Photo,5,5,13,124753,3000,2718,52477,122
116435,Photo,5,5,9,10164,676,1049,6890,32
116435,Photo,5,4,13,9518,647,847,6549,33
116435,Status,5,4,3,42313,1701,2838,37816,39
116435,Photo,5,3,7,25542,1005,1021,15973,25
116435,Photo,5,2,14,7165,552,713,4908,18
116435,Photo,5,2,8,9209,625,869,5768,38
116435,Photo,5,1,13,7633,562,730,6173,16
116091,Photo,5,1,3,10441,689,833,7055,40
116091,Photo,5,7,14,8962,565,878,6461,29
116091,Photo,5,7,2,12066,780,1116,8188,54
116091,Photo,5,6,9,10300,577,886,7886,24
116091,Photo,5,6,3,5797,463,552,4347,18
116091,Status,5,5,7,16811,908,1967,12996,36
115893,Photo,4,4,15,9035,736,1005,6258,30
115893,Photo,4,3,13,51899,1599,3153,48466,33
115368,Photo,4,3,8,7594,624,771,4632,32
115368,Photo,4,2,13,11859,905,1165,8391,47
115368,Photo,4,2,2,9586,739,1048,5732,39
115368,Photo,4,1,2,15350,583,724,13876,9
113028,Photo,4,7,3,9903,708,923,6315,35
113028,Photo,4,6,14,55202,1476,1990,47899,76
113028,Status,4,6,3,34774,2750,6591,21009,123
113028,Link,4,5,7,45260,339,477,9105,11
113028,Photo,4,5,5,15194,962,1897,11853,26
113028,Photo,4,4,12,11736,671,889,9389,16
111620,Photo,4,4,7,18929,830,864,15678,30
111620,Photo,4,3,7,9835,564,678,8242,13
111620,Photo,4,2,13,12414,838,1274,8452,51
111620,Photo,4,2,6,60918,1215,1746,22130,11
111620,Photo,4,1,14,147918,3984,3391,48575,128
111620,Photo,4,7,14,251269,1539,2506,84046,18
109670,Photo,4,6,20,9970,964,1254,6896,34
109670,Photo,4,6,13,10417,718,906,7692,22
109670,Photo,4,6,3,8198,662,788,5685,28
109670,Photo,4,5,13,10701,669,943,7956,13
109670,Photo,4,5,7,8875,657,874,5640,38
109670,Photo,4,4,3,45508,621,768,8149,8
109670,Photo,4,3,13,8891,700,1078,6733,14
109670,Photo,4,3,8,12695,524,658,7072,5
109670,Photo,4,2,13,5953,584,842,4954,3
109670,Photo,4,2,2,5313,522,616,3821,14
109670,Photo,4,1,13,55696,1933,2123,43980,109
109670,Photo,4,1,2,26026,705,913,13546,18
109670,Photo,4,7,14,6406,518,597,4747,13
107907,Photo,4,7,13,7057,601,730,5026,21
107907,Photo,4,6,9,6156,509,701,5011,6
107907,Photo,4,6,3,6276,504,633,4010,27
107907,Photo,4,5,9,110172,1784,3383,47977,11
107907,Photo,4,5,3,6333,666,822,4447,18
107907,Photo,4,4,13,11079,715,1028,6661,52
107907,Photo,4,4,5,6385,537,645,4441,26
107907,Photo,4,3,13,80227,1364,1697,32842,38
107907,Photo,4,3,4,47128,741,957,22022,17
107907,Link,4,2,6,94172,1374,1267,42338,40
107907,Photo,4,1,3,7253,471,569,4440,24
107907,Photo,4,7,10,7004,484,602,4607,26
107907,Photo,4,7,3,7716,494,632,5040,25
106928,Photo,4,6,9,4649,421,544,3346,9
106928,Link,4,6,4,42092,338,389,22907,7
106928,Photo,4,5,13,8769,624,979,6021,26
106928,Photo,4,5,3,9301,642,984,6600,24
106928,Photo,4,4,13,6769,477,571,4550,15
106928,Photo,4,4,3,8132,612,857,6032,14
104070,Photo,3,5,14,5824,517,742,4166,16
104070,Photo,3,4,14,9579,735,1448,6956,29
104070,Photo,3,4,7,1110282,1653,2567,1107833,15
104070,Status,3,3,15,14759,951,1290,13246,6
104070,Photo,3,3,10,2474,25,31,1483,0
102112,Photo,3,3,10,7073,466,609,5827,11
102112,Photo,3,3,4,8238,523,727,6630,14
102112,Photo,3,2,12,7333,538,934,5914,13
102112,Photo,3,2,3,6079,463,653,5079,7
102112,Photo,3,1,19,570,143,834,567,0
102112,Photo,3,1,18,5900,541,4550,4650,3
102112,Photo,3,1,18,11941,735,8415,10987,6
102112,Link,3,1,3,10885,282,337,9403,15
100732,Photo,3,7,18,746,131,766,723,1
100732,Photo,3,7,17,22468,1409,11064,18310,13
100732,Photo,3,7,15,9067,398,1690,9065,0
100732,Photo,3,7,15,6971,144,1033,6932,0
100732,Link,3,7,14,5144,24,26,3972,0
100732,Photo,3,7,12,7469,206,1420,7451,0
100732,Photo,3,6,17,726,186,889,721,1
100732,Photo,3,6,17,23855,1411,8049,16634,14
100732,Photo,3,6,15,10510,452,2895,9348,1
100732,Photo,3,6,15,12811,587,3941,11519,4
100732,Photo,3,6,13,16557,1061,9614,13618,0
100732,Photo,3,6,10,457509,1373,2106,72846,13
98195,Link,3,6,6,10083,103,97,8964,15
98195,Photo,3,6,3,7960,560,719,6380,9
98195,Photo,3,5,10,7355,546,675,6423,7
98195,Photo,3,5,4,2670,9,9,1614,0
98195,Photo,3,4,13,191207,1591,1926,184270,97
96749,Photo,3,2,9,9940,589,715,8146,10
96749,Photo,3,2,5,9411,603,795,7034,20
96749,Photo,3,1,13,8070,711,926,6937,7
96749,Photo,3,1,2,125026,11452,18115,16682,21
96749,Photo,3,7,10,12735,2348,3311,9837,24
96749,Photo,3,7,5,21958,1850,2170,9579,6
93684,Photo,2,6,13,162816,2299,2737,160270,26
93577,Photo,2,6,6,33000,1876,2654,14636,21
93470,Photo,2,5,12,11459,1362,1652,9122,29
93363,Photo,2,5,6,10634,1237,1526,9103,15
93256,Photo,2,4,12,10508,1132,1380,8471,27
93149,Photo,2,4,3,16535,1383,1834,11276,70
93042,Photo,2,3,13,14157,1095,1422,9670,53
92935,Photo,2,3,9,6737,949,1192,5249,6
92828,Photo,2,3,6,42940,2283,3400,9183,18
92721,Photo,2,2,13,12627,1239,1612,9781,32
92614,Photo,2,2,3,9100,1053,1326,6285,32
92507,Photo,2,1,13,665792,4544,6624,648611,181
92400,Photo,2,1,4,10115,1291,1878,8536,11
92293,Photo,2,7,13,17029,1429,2022,11744,78
92186,Photo,2,7,2,497910,1713,2493,8907,34
92079,Photo,2,6,13,453213,2482,3412,81938,36
91972,Photo,2,6,3,10832,1166,1441,7316,38
91865,Photo,2,5,13,7466,949,1116,5362,21
91758,Photo,2,5,3,51571,1188,1410,47976,37
91651,Photo,2,4,12,31467,1573,2110,28247,36
91544,Photo,2,4,3,16779,1245,1725,11885,61
91437,Link,2,3,13,14986,448,505,13919,13
91330,Photo,2,3,3,13264,1066,1336,8753,57
91223,Photo,2,2,13,8893,857,1020,7420,15
91116,Photo,2,2,4,12060,1004,1226,8294,42
91009,Photo,2,1,12,39641,1512,1837,6338,13
86909,Photo,1,6,16,9238,1179,1452,6101,19
86909,Photo,1,6,10,10966,2728,3183,66311,47
86909,Link,1,6,4,7927,572,581,12522,5
86909,Photo,1,5,13,8745,1141,1461,5225,31
86909,Photo,1,5,4,10325,1117,1427,6823,36
86909,Photo,1,4,11,20696,1762,2741,8774,99
86491,Link,1,4,4,7910,66,70,6625,2
86491,Photo,1,3,10,9456,2969,3645,17809,36
86491,Photo,1,3,3,8779,1096,1399,5732,26
86491,Photo,1,2,7,8367,1062,1348,5485,24
86491,Link,1,2,2,8371,66,71,7041,2
85979,Photo,1,1,12,8030,1020,1243,5340,25
85979,Photo,1,1,2,7491,957,1153,4642,21
85979,Photo,1,7,10,17442,1407,2007,8872,80
85979,Photo,1,7,2,7754,975,1278,4932,28
85979,Photo,1,6,11,8703,951,1237,5757,30
85979,Photo,1,6,3,10228,956,1140,6085,46
85979,Link,1,5,11,5808,753,763,15766,9
85093,Photo,1,1,2,13960,1179,1632,8632,55
85093,Photo,1,7,10,9218,810,1003,5654,41
85093,Photo,1,7,2,7536,733,985,4750,26
81370,Photo,1,5,8,6229,537,687,3961,22
81370,Photo,1,5,2,7216,625,795,4742,18
81370,Photo,1,4,11,7564,626,832,4534,38
81370,Photo,1,4,4,7292,564,743,3861,28
